"macrogrupo","n_hogares","porc_total","ingreso_mediano","ingreso_promedio","edad_promedio","porc_rural","porc_migrantes","porc_indigenas","porc_mixta"
"Nuclear tradicional",14137,24.1,213282,339148.959024781,34.6458678173115,16.036422408101,8.20541840560232,17.5496922968098,0.954940935134753
"Aislada",12480,21.3,256648,514033.712393162,56.6588474893162,15.1392384815827,4.91987179487179,11.5144230769231,0.264423076923077
"Monoparental",12145,20.7,174583.5,259922.597807054,35.0356237134623,14.9499416095863,4.98970769864142,17.8015644298065,0.699876492383697
"Pareja sin hijos",9009,15.3,250000,438797.443167943,58.5343545343545,16.2178132219571,7.19280719280719,14.4189144189144,0.743700743700744
"Extendida",4929,8.4,189417,276378.872841009,43.2662068032731,15.2496973651882,9.69770744572936,19.2331101643335,0.973828362751065
"Intergeneracional",3744,6.4,164977.875,211202.132118056,37.3596866096866,15.2820725539063,3.76602564102564,18.6965811965812,0.560897435897436
"Reconstituida",2263,3.9,209502.75,312993.716894977,30.8295625276182,14.7485321059352,13.2567388422448,22.2713212549713,2.25364560318162
