"household"
110110020301
110110030101
110110031701
110110071501
110110090501
110110120101
110110140401
110110140501
110110160201
110110170201
110110181201
110110200601
110110200701
110110201801
110110210501
110110230401
110110250501
110110251301
110110251701
110110260301
110110260401
110110260701
110110270401
110110291201
110110300301
110110310301
110110310601
110110370601
110110391801
110110410301
110110430101
110110440101
110110440601
110110460301
110110470201
110110480301
110110490101
110110490701
110110510501
110110530401
110110540201
110110550102
110110551201
110110560801
110110581701
110110590101
110110611201
110110620301
110110620801
110110630901
110110631101
110110631201
110110631601
110110660601
110110660901
110110670301
110110710801
110110790801
110110810501
110110850601
110110860601
110110910401
110110940301
110111000301
110111010701
110111060601
110111090501
110111090801
110111101301
110111140301
110111150601
110111161101
110111190401
110111221901
110111230801
110111250101
110111360301
110111360601
110111420401
110111440101
110111460301
110111461401
110111461601
110111480101
110111480201
110111490401
110111510401
110111530601
110111530701
110111540601
110111550401
110111560301
110111561301
110111571201
110111580301
110111590301
110111590701
110111650701
110111670601
110111730701
110111750501
110111760401
110111780501
110111780601
110111790201
110111800101
110111810201
110111820801
110111850301
110111950301
110111980901
110111990101
110111990501
110111990701
110112010201
110112010501
110112010801
110112020101
110112030201
110112030401
110112050101
110112070201
110112080101
110112100201
110112110401
110112140501
110112151501
110112161401
110112220901
110112310201
110112310501
110112320701
110112370501
110112421401
110112461401
110112471501
110112480101
110112481101
110112500401
110112551601
110130020801
110130030401
110130031001
110710010201
110710020701
110710030201
110710040701
110710050101
110710060201
110710090301
110710100201
110710101001
110710150701
110710151001
110710160401
110710161501
110710170201
110710170401
110710190101
110710200301
110710200401
110710201101
110710210801
110710220901
110710230401
110710240201
110710260601
110710261101
110710271201
110710290601
110710291201
110710300701
110710310201
110710310901
110710330801
110710370301
110710390601
110710400201
110710400301
110710400501
110710410201
110710410501
110710410801
110710430501
110710440501
110710450701
110710470601
110710471001
110710490301
110710490401
110710530101
110710530401
110710550601
110710570901
110710571201
110710590201
110710630301
110710650101
110710670601
110710680201
110710701101
110710702001
110710751501
110710781201
110710781901
110710820901
110710870101
110710870701
110710880101
110710930901
110710940501
110710941001
110710950901
110710970101
110710980201
110710990401
110711010601
110711070201
110711080301
110711150301
110711160201
110711170201
110711170301
110711170501
110711180501
110711190301
110711200101
110711200402
