Tipologia,Frecuencia,Porcentaje,Nodos,Aristas,Densidad,Frecuencia_acumulada
T148,10,0.02,6,8,0.2667,97.42
T149,10,0.02,6,7,0.2333,97.44
T150,10,0.02,6,8,0.2667,97.46
T151,9,0.01,6,3,0.1,97.47
T152,9,0.01,5,2,0.1,97.48
T153,9,0.01,5,4,0.2,97.49
T154,9,0.01,5,2,0.1,97.5
T155,9,0.01,7,11,0.2619,97.51
T156,9,0.01,8,14,0.25,97.52
T157,9,0.01,8,14,0.25,97.53
T158,9,0.01,7,6,0.1429,97.54
T159,9,0.01,6,4,0.1333,97.55
T160,9,0.01,6,9,0.3,97.56
T161,8,0.01,6,3,0.1,97.57
T162,8,0.01,6,4,0.1333,97.58
T163,8,0.01,6,8,0.2667,97.59
T164,8,0.01,5,7,0.35,97.6
T165,8,0.01,6,7,0.2333,97.61
T166,8,0.01,6,9,0.3,97.62
T167,8,0.01,7,12,0.2857,97.63
T168,8,0.01,7,10,0.2381,97.64
T169,8,0.01,4,4,0.3333,97.65
T170,8,0.01,6,8,0.2667,97.66
T171,8,0.01,6,7,0.2333,97.67
T172,8,0.01,5,6,0.3,97.68
T173,7,0.01,6,0,0,97.69
T174,7,0.01,7,6,0.1429,97.7
T175,7,0.01,7,9,0.2143,97.71
T176,7,0.01,7,10,0.2381,97.72
T177,7,0.01,8,7,0.125,97.73
T178,7,0.01,7,8,0.1905,97.74
T179,7,0.01,7,6,0.1429,97.75
T180,7,0.01,6,6,0.2,97.76
T181,7,0.01,6,9,0.3,97.77
T182,7,0.01,6,8,0.2667,97.78
T183,7,0.01,6,5,0.1667,97.79
T184,7,0.01,6,6,0.2,97.8
T185,7,0.01,5,7,0.35,97.81
T186,7,0.01,7,10,0.2381,97.82
T187,7,0.01,6,7,0.2333,97.83
T188,7,0.01,6,7,0.2333,97.84
T189,7,0.01,5,3,0.15,97.85
T190,6,0.01,6,2,0.0667,97.86
T191,6,0.01,6,4,0.1333,97.87
T192,6,0.01,6,2,0.0667,97.88
T193,6,0.01,7,8,0.1905,97.89
T194,6,0.01,6,8,0.2667,97.9
T195,6,0.01,5,4,0.2,97.91
T196,6,0.01,6,6,0.2,97.92
T197,6,0.01,5,3,0.15,97.93
T198,6,0.01,7,10,0.2381,97.94
T199,6,0.01,7,6,0.1429,97.95
T200,6,0.01,7,7,0.1667,97.96
T201,6,0.01,7,7,0.1667,97.97
T202,6,0.01,8,11,0.1964,97.98
T203,6,0.01,7,6,0.1429,97.99
T204,6,0.01,7,9,0.2143,98
T205,6,0.01,6,5,0.1667,98.01
T206,6,0.01,5,5,0.25,98.02
T207,6,0.01,6,9,0.3,98.03
T208,6,0.01,6,8,0.2667,98.04
T209,6,0.01,7,9,0.2143,98.05
T210,6,0.01,6,7,0.2333,98.06
T211,6,0.01,6,7,0.2333,98.07
T212,6,0.01,6,9,0.3,98.08
T213,5,0.01,6,4,0.1333,98.09
T214,5,0.01,5,3,0.15,98.1
T215,5,0.01,6,5,0.1667,98.11
T216,5,0.01,8,12,0.2143,98.12
T217,5,0.01,7,8,0.1905,98.13
T218,5,0.01,6,5,0.1667,98.14
T219,5,0.01,6,6,0.2,98.15
T220,5,0.01,6,5,0.1667,98.16
T221,5,0.01,5,4,0.2,98.17
T222,5,0.01,7,10,0.2381,98.18
T223,5,0.01,8,13,0.2321,98.19
T224,5,0.01,8,14,0.25,98.2
T225,5,0.01,8,13,0.2321,98.21
T226,5,0.01,8,11,0.1964,98.22
T227,5,0.01,6,7,0.2333,98.23
T228,5,0.01,7,11,0.2619,98.24
T229,5,0.01,7,6,0.1429,98.25
T230,5,0.01,7,9,0.2143,98.26
T231,5,0.01,6,6,0.2,98.27
T232,5,0.01,6,8,0.2667,98.28
T233,5,0.01,6,7,0.2333,98.29
T234,5,0.01,5,6,0.3,98.3
T235,5,0.01,8,14,0.25,98.31
T236,5,0.01,6,9,0.3,98.32
T237,5,0.01,8,13,0.2321,98.33
T238,5,0.01,7,9,0.2143,98.34
T239,5,0.01,5,6,0.3,98.35
T240,5,0.01,5,6,0.3,98.36
T241,4,0.01,7,4,0.0952,98.37
T242,4,0.01,6,5,0.1667,98.38
T243,4,0.01,9,14,0.1944,98.39
T244,4,0.01,7,5,0.119,98.4
T245,4,0.01,7,10,0.2381,98.41
T246,4,0.01,7,7,0.1667,98.42
T247,4,0.01,6,5,0.1667,98.43
T248,4,0.01,7,9,0.2143,98.44
T249,4,0.01,7,9,0.2143,98.45
T250,4,0.01,7,6,0.1429,98.46
T251,4,0.01,7,5,0.119,98.47
T252,4,0.01,7,7,0.1667,98.48
T253,4,0.01,6,6,0.2,98.49
T254,4,0.01,6,5,0.1667,98.5
T255,4,0.01,6,6,0.2,98.51
T256,4,0.01,6,8,0.2667,98.52
T257,4,0.01,6,6,0.2,98.53
T258,4,0.01,6,8,0.2667,98.54
T259,4,0.01,7,10,0.2381,98.55
T260,4,0.01,9,15,0.2083,98.56
T261,4,0.01,5,5,0.25,98.57
T262,4,0.01,8,12,0.2143,98.58
T263,4,0.01,7,9,0.2143,98.59
T264,4,0.01,6,5,0.1667,98.6
T265,4,0.01,6,9,0.3,98.61
T266,4,0.01,5,5,0.25,98.62
T267,4,0.01,6,6,0.2,98.63
T268,4,0.01,5,7,0.35,98.64
T269,4,0.01,5,5,0.25,98.65
T270,4,0.01,5,4,0.2,98.66
