Tipologia,Frecuencia,Porcentaje,Nodos,Aristas,Densidad,Frecuencia_acumulada
T675,1,0,8,10,0.1786,98.67
T676,1,0,8,12,0.2143,98.67
T677,1,0,8,13,0.2321,98.67
T678,1,0,8,11,0.1964,98.67
T679,1,0,8,11,0.1964,98.67
T680,1,0,8,12,0.2143,98.67
T681,1,0,8,13,0.2321,98.67
T682,1,0,5,5,0.25,98.67
T683,1,0,11,20,0.1818,98.67
T684,1,0,9,15,0.2083,98.67
T685,1,0,9,16,0.2222,98.67
T686,1,0,9,15,0.2083,98.67
T687,1,0,9,14,0.1944,98.67
T688,1,0,12,14,0.1061,98.67
T689,1,0,12,19,0.1439,98.67
T690,1,0,10,13,0.1444,98.67
T691,1,0,11,17,0.1545,98.67
T692,1,0,10,9,0.1,98.67
T693,1,0,11,14,0.1273,98.67
T694,1,0,10,8,0.0889,98.67
T695,1,0,10,9,0.1,98.67
T696,1,0,9,10,0.1389,98.67
T697,1,0,10,11,0.1222,98.67
T698,1,0,10,11,0.1222,98.67
T699,1,0,10,13,0.1444,98.67
T700,1,0,9,8,0.1111,98.67
T701,1,0,9,7,0.0972,98.67
T702,1,0,11,18,0.1636,98.67
T703,1,0,9,14,0.1944,98.67
T704,1,0,9,15,0.2083,98.67
T705,1,0,9,14,0.1944,98.67
T706,1,0,9,15,0.2083,98.67
T707,1,0,9,13,0.1806,98.67
T708,1,0,9,15,0.2083,98.67
T709,1,0,9,11,0.1528,98.67
T710,1,0,9,8,0.1111,98.67
T711,1,0,9,13,0.1806,98.67
T712,1,0,9,14,0.1944,98.67
T713,1,0,9,13,0.1806,98.67
T714,1,0,9,13,0.1806,98.67
T715,1,0,8,7,0.125,98.67
T716,1,0,8,7,0.125,98.67
T717,1,0,8,8,0.1429,98.67
T718,1,0,8,8,0.1429,98.67
T719,1,0,8,10,0.1786,98.67
T720,1,0,9,14,0.1944,98.67
T721,1,0,8,6,0.1071,98.67
T722,1,0,8,7,0.125,98.67
T723,1,0,8,7,0.125,98.67
T724,1,0,8,7,0.125,98.67
T725,1,0,8,9,0.1607,98.67
T726,1,0,8,8,0.1429,98.67
T727,1,0,8,9,0.1607,98.67
T728,1,0,8,9,0.1607,98.67
T729,1,0,8,8,0.1429,98.67
T730,1,0,7,8,0.1905,98.67
T731,1,0,7,6,0.1429,98.67
T732,1,0,7,7,0.1667,98.67
T733,1,0,7,9,0.2143,98.67
T734,1,0,7,8,0.1905,98.67
T735,1,0,7,8,0.1905,98.67
T736,1,0,7,8,0.1905,98.67
T737,1,0,7,7,0.1667,98.67
T738,1,0,7,7,0.1667,98.67
T739,1,0,7,7,0.1667,98.67
T740,1,0,7,8,0.1905,98.67
T741,1,0,7,10,0.2381,98.67
T742,1,0,7,10,0.2381,98.67
T743,1,0,7,8,0.1905,98.67
T744,1,0,7,9,0.2143,98.67
T745,1,0,7,9,0.2143,98.67
T746,1,0,7,10,0.2381,98.67
T747,1,0,7,9,0.2143,98.67
T748,1,0,7,10,0.2381,98.67
T749,1,0,7,9,0.2143,98.67
T750,1,0,7,10,0.2381,98.67
T751,1,0,7,9,0.2143,98.67
T752,1,0,7,9,0.2143,98.67
T753,1,0,7,9,0.2143,98.67
T754,1,0,7,9,0.2143,98.67
T755,1,0,8,11,0.1964,98.67
T756,1,0,8,14,0.25,98.67
T757,1,0,8,13,0.2321,98.67
T758,1,0,8,14,0.25,98.67
T759,1,0,11,14,0.1273,98.67
T760,1,0,11,15,0.1364,98.67
T761,1,0,10,17,0.1889,98.67
T762,1,0,10,17,0.1889,98.67
T763,1,0,9,9,0.125,98.67
T764,1,0,9,10,0.1389,98.67
T765,1,0,9,10,0.1389,98.67
T766,1,0,9,11,0.1528,98.67
T767,1,0,10,16,0.1778,98.67
T768,1,0,10,16,0.1778,98.67
T769,1,0,10,14,0.1556,98.67
T770,1,0,9,8,0.1111,98.67
T771,1,0,9,8,0.1111,98.67
T772,1,0,9,8,0.1111,98.67
T773,1,0,9,13,0.1806,98.67
T774,1,0,10,15,0.1667,98.67
T775,1,0,10,16,0.1778,98.67
T776,1,0,10,15,0.1667,98.67
T777,1,0,9,7,0.0972,98.67
T778,1,0,9,8,0.1111,98.67
T779,1,0,9,8,0.1111,98.67
T780,1,0,9,11,0.1528,98.67
T781,1,0,9,13,0.1806,98.67
T782,1,0,9,12,0.1667,98.67
T783,1,0,8,9,0.1607,98.67
T784,1,0,8,11,0.1964,98.67
T785,1,0,8,10,0.1786,98.67
T786,1,0,9,11,0.1528,98.67
T787,1,0,9,12,0.1667,98.67
T788,1,0,9,8,0.1111,98.67
T789,1,0,8,7,0.125,98.67
T790,1,0,8,9,0.1607,98.67
T791,1,0,8,7,0.125,98.67
T792,1,0,8,8,0.1429,98.67
T793,1,0,8,12,0.2143,98.67
T794,1,0,8,11,0.1964,98.67
T795,1,0,8,12,0.2143,98.67
T796,1,0,8,12,0.2143,98.67
T797,1,0,8,13,0.2321,98.67
T798,1,0,8,12,0.2143,98.67
T799,1,0,8,8,0.1429,98.67
T800,1,0,8,9,0.1607,98.67
T801,1,0,8,10,0.1786,98.67
T802,1,0,8,6,0.1071,98.67
T803,1,0,8,11,0.1964,98.67
T804,1,0,8,11,0.1964,98.67
T805,1,0,8,9,0.1607,98.67
T806,1,0,7,7,0.1667,98.67
T807,1,0,7,9,0.2143,98.67
T808,1,0,7,7,0.1667,98.67
T809,1,0,7,9,0.2143,98.67
T810,1,0,7,6,0.1429,98.67
T811,1,0,7,9,0.2143,98.67
T812,1,0,7,7,0.1667,98.67
T813,1,0,7,9,0.2143,98.67
T814,1,0,7,9,0.2143,98.67
T815,1,0,7,8,0.1905,98.67
T816,1,0,7,7,0.1667,98.67
T817,1,0,7,6,0.1429,98.67
T818,1,0,7,7,0.1667,98.67
T819,1,0,7,6,0.1429,98.67
T820,1,0,7,7,0.1667,98.67
T821,1,0,7,8,0.1905,98.67
T822,1,0,7,8,0.1905,98.67
T823,1,0,7,8,0.1905,98.67
T824,1,0,7,8,0.1905,98.67
T825,1,0,7,6,0.1429,98.67
T826,1,0,6,5,0.1667,98.67
T827,1,0,6,5,0.1667,98.67
T828,1,0,6,7,0.2333,98.67
T829,1,0,6,7,0.2333,98.67
T830,1,0,6,7,0.2333,98.67
T831,1,0,6,7,0.2333,98.67
T832,1,0,6,8,0.2667,98.67
T833,1,0,6,7,0.2333,98.67
T834,1,0,6,8,0.2667,98.67
T835,1,0,6,9,0.3,98.67
T836,1,0,6,7,0.2333,98.67
T837,1,0,11,20,0.1818,98.67
T838,1,0,5,7,0.35,98.67
T839,1,0,9,16,0.2222,98.67
T840,1,0,7,10,0.2381,98.67
T841,1,0,7,10,0.2381,98.67
T842,1,0,7,10,0.2381,98.67
T843,1,0,7,10,0.2381,98.67
T844,1,0,7,11,0.2619,98.67
T845,1,0,7,12,0.2857,98.67
T846,1,0,9,13,0.1806,98.67
T847,1,0,9,11,0.1528,98.67
T848,1,0,9,13,0.1806,98.67
T849,1,0,5,5,0.25,98.67
T850,1,0,9,15,0.2083,98.67
T851,1,0,9,9,0.125,98.67
T852,1,0,8,8,0.1429,98.67
T853,1,0,8,10,0.1786,98.67
T854,1,0,8,9,0.1607,98.67
T855,1,0,8,9,0.1607,98.67
T856,1,0,8,11,0.1964,98.67
T857,1,0,8,9,0.1607,98.67
T858,1,0,9,11,0.1528,98.67
T859,1,0,8,8,0.1429,98.67
T860,1,0,8,11,0.1964,98.67
T861,1,0,8,11,0.1964,98.67
T862,1,0,9,14,0.1944,98.67
T863,1,0,8,7,0.125,98.67
T864,1,0,8,11,0.1964,98.67
T865,1,0,8,10,0.1786,98.67
T866,1,0,8,11,0.1964,98.67
T867,1,0,8,11,0.1964,98.67
T868,1,0,8,10,0.1786,98.67
T869,1,0,8,11,0.1964,98.67
T870,1,0,8,10,0.1786,98.67
T871,1,0,7,5,0.119,98.67
T872,1,0,7,7,0.1667,98.67
T873,1,0,7,8,0.1905,98.67
T874,1,0,7,9,0.2143,98.67
T875,1,0,8,9,0.1607,98.67
T876,1,0,7,8,0.1905,98.67
T877,1,0,7,9,0.2143,98.67
T878,1,0,7,8,0.1905,98.67
T879,1,0,7,9,0.2143,98.67
T880,1,0,7,9,0.2143,98.67
T881,1,0,7,8,0.1905,98.67
T882,1,0,5,4,0.2,98.67
T883,1,0,8,10,0.1786,98.67
T884,1,0,8,10,0.1786,98.67
T885,1,0,7,5,0.119,98.67
T886,1,0,7,5,0.119,98.67
T887,1,0,7,5,0.119,98.67
T888,1,0,7,6,0.1429,98.67
T889,1,0,7,7,0.1667,98.67
T890,1,0,7,10,0.2381,98.67
T891,1,0,7,10,0.2381,98.67
T892,1,0,6,6,0.2,98.67
T893,1,0,7,7,0.1667,98.67
T894,1,0,7,9,0.2143,98.67
T895,1,0,7,8,0.1905,98.67
T896,1,0,7,9,0.2143,98.67
T897,1,0,6,6,0.2,98.67
T898,1,0,6,7,0.2333,98.67
T899,1,0,6,7,0.2333,98.67
T900,1,0,6,8,0.2667,98.67
T901,1,0,6,8,0.2667,98.67
T902,1,0,6,6,0.2,98.67
T903,1,0,7,11,0.2619,98.67
T904,1,0,6,8,0.2667,98.67
T905,1,0,5,4,0.2,98.67
T906,1,0,6,8,0.2667,98.67
T907,1,0,8,13,0.2321,98.67
T908,1,0,6,9,0.3,98.67
T909,1,0,6,7,0.2333,98.67
T910,1,0,8,13,0.2321,98.67
T911,1,0,6,8,0.2667,98.67
T912,1,0,8,12,0.2143,98.67
T913,1,0,8,11,0.1964,98.67
T914,1,0,6,8,0.2667,98.67
T915,1,0,8,11,0.1964,98.67
T916,1,0,8,13,0.2321,98.67
T917,1,0,9,14,0.1944,98.67
T918,1,0,8,8,0.1429,98.67
T919,1,0,7,7,0.1667,98.67
T920,1,0,7,7,0.1667,98.67
T921,1,0,7,8,0.1905,98.67
T922,1,0,7,8,0.1905,98.67
T923,1,0,4,3,0.25,98.67
T924,1,0,8,11,0.1964,98.67
T925,1,0,8,13,0.2321,98.67
T926,1,0,7,7,0.1667,98.67
T927,1,0,7,8,0.1905,98.67
T928,1,0,7,7,0.1667,98.67
T929,1,0,6,4,0.1333,98.67
T930,1,0,6,6,0.2,98.67
T931,1,0,7,5,0.119,98.67
T932,1,0,7,7,0.1667,98.67
T933,1,0,7,9,0.2143,98.67
T934,1,0,7,8,0.1905,98.67
T935,1,0,7,7,0.1667,98.67
T936,1,0,7,10,0.2381,98.67
T937,1,0,6,7,0.2333,98.67
T938,1,0,6,8,0.2667,98.67
T939,1,0,6,7,0.2333,98.67
T940,1,0,6,6,0.2,98.67
T941,1,0,6,7,0.2333,98.67
T942,1,0,6,8,0.2667,98.67
T943,1,0,6,6,0.2,98.67
T944,1,0,5,6,0.3,98.67
T945,1,0,6,8,0.2667,98.67
T946,1,0,6,9,0.3,98.67
T947,1,0,8,12,0.2143,98.67
T948,1,0,5,6,0.3,98.67
T949,1,0,9,16,0.2222,98.67
T950,1,0,7,11,0.2619,98.67
T951,1,0,7,11,0.2619,98.67
T952,1,0,7,9,0.2143,98.67
T953,1,0,8,12,0.2143,98.67
T954,1,0,7,9,0.2143,98.67
T955,1,0,6,5,0.1667,98.67
T956,1,0,6,6,0.2,98.67
T957,1,0,8,11,0.1964,98.67
T958,1,0,6,6,0.2,98.67
T959,1,0,6,8,0.2667,98.67
T960,1,0,5,7,0.35,98.67
T961,1,0,8,14,0.25,98.67
T962,1,0,6,7,0.2333,98.67
T963,1,0,6,9,0.3,98.67
T964,1,0,6,8,0.2667,98.67
