"Tipologia","Frecuencia","Porcentaje","Nodos","Aristas","Densidad","Frecuencia_acumulada","n_nodos","tiene_matrimonio","tiene_hijos","es_nuclear_pura","es_monoparental_pura","es_tres_generaciones","es_reconstituida","tiene_allegados","macrogrupo","sub_categoria","Cluster"
"T15",578,0.92,4,5,0.4167,81.76,4,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Extendida","Extendida Compleja","3"
"T16",479,0.76,4,4,0.3333,82.52,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Nuclear Extendida","3"
"T17",453,0.72,4,3,0.25,83.24,4,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Extendida","Intergeneracional","5"
"T18",438,0.7,4,5,0.4167,83.94,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Nuclear Extendida","3"
"T19",425,0.68,4,3,0.25,84.62,4,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Extendida","Intergeneracional","5"
"T20",420,0.67,3,3,0.5,85.29,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Nuclear Extendida","3"
"T21",383,0.61,3,0,0,85.9,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Aislada",NA,"1"
"T22",365,0.58,5,7,0.35,86.48,5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Extendida","Extendida Compleja","3"
"T23",349,0.55,5,7,0.35,87.03,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Nuclear Extendida","3"
"T24",303,0.48,6,10,0.3333,87.51,6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Nuclear Tradicional",NA,"3"
"T25",302,0.48,4,4,0.3333,87.99,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Extendida","Reconstituida","3"
"T26",289,0.46,4,2,0.1667,88.45,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Monoparental Extendida","4"
"T27",277,0.44,5,4,0.2,88.89,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Monoparental",NA,"4"
"T28",256,0.41,5,7,0.35,89.3,5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Extendida","Reconstituida","3"
"T29",249,0.4,5,6,0.3,89.7,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Nuclear Extendida","3"
"T30",202,0.32,4,2,0.1667,90.02,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Pareja Extendida","2"
"T31",201,0.32,5,6,0.3,90.34,5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Extendida","Extendida Compleja","3"
"T32",144,0.23,5,4,0.2,90.57,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Extendida","Intergeneracional","5"
"T33",143,0.23,4,1,0.0833,90.8,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Monoparental Extendida","4"
"T34",138,0.22,5,8,0.4,91.02,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Nuclear Extendida","3"
"T35",138,0.22,4,6,0.5,91.24,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Nuclear Extendida","3"
"T36",136,0.22,5,4,0.2,91.46,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Extendida","Intergeneracional","5"
"T37",128,0.2,5,6,0.3,91.66,5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Extendida","Reconstituida","3"
"T38",120,0.19,5,4,0.2,91.85,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Extendida","Intergeneracional","5"
"T39",102,0.16,6,9,0.3,92.01,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Nuclear Extendida","3"
"T40",101,0.16,6,10,0.3333,92.17,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Nuclear Extendida","3"
"T41",100,0.16,4,2,0.1667,92.33,4,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Extendida","Intergeneracional","5"
"T42",99,0.16,6,9,0.3,92.49,6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Extendida","Extendida Compleja","3"
"T43",95,0.15,6,8,0.2667,92.64,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Nuclear Extendida","3"
"T44",92,0.15,6,10,0.3333,92.79,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Extendida","Nuclear Extendida","3"
"T45",89,0.14,4,0,0,92.93,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Aislada",NA,"1"
"T46",87,0.14,5,5,0.25,93.07,5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Extendida","Reconstituida","3"
"T47",86,0.14,6,8,0.2667,93.21,6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Extendida","Extendida Compleja","3"
"T48",84,0.13,4,4,0.3333,93.34,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"Extendida","Extendida Compleja","3"
