"Tipologia","intergeneracional","padrastros","suegros","nodos_aislados","monoparental","pareja_sin_hijos"
"T198",0,1,0,0,0,0
"T199",1,0,0,0,0,0
"T200",1,1,0,0,0,0
"T201",1,1,0,0,0,0
"T202",1,0,0,0,0,0
"T203",1,0,0,0,0,0
"T204",0,0,1,0,0,0
"T205",1,0,0,0,0,0
"T206",0,1,0,0,0,0
"T207",0,0,1,0,0,0
"T208",0,0,1,0,0,0
"T209",1,0,0,0,0,0
"T210",1,0,0,0,0,0
"T211",1,0,1,0,0,0
"T212",0,1,1,0,0,0
"T213",0,0,0,1,0,0
"T214",0,0,1,1,0,0
"T215",1,0,0,1,0,0
"T216",0,0,1,1,0,0
"T217",0,0,1,1,0,0
"T218",0,1,0,1,0,0
"T219",0,1,0,1,0,0
"T220",0,1,1,1,0,0
"T221",0,0,0,1,0,0
"T222",0,1,1,0,0,0
"T223",0,0,1,0,0,0
"T224",0,0,1,0,0,0
"T225",1,0,0,0,0,0
"T226",1,0,0,0,0,0
"T227",0,1,1,0,0,0
"T228",0,0,1,0,0,0
"T229",1,0,0,0,0,0
"T230",0,0,0,0,0,0
"T231",0,1,1,0,0,0
"T232",0,1,0,0,0,0
"T233",1,0,1,0,0,0
"T234",0,1,1,0,0,0
"T235",0,0,1,0,0,0
"T236",0,1,1,0,0,0
"T237",1,0,1,0,0,0
"T238",1,0,1,0,0,0
"T239",1,0,1,0,0,0
"T240",1,0,0,0,0,0
"T241",0,0,0,1,0,0
"T242",0,0,1,1,0,0
"T243",0,0,1,1,0,0
"T244",1,0,0,1,0,0
"T245",0,0,1,1,0,0
"T246",0,0,0,1,0,0
"T247",1,1,0,1,0,0
"T248",0,1,1,0,0,0
"T249",0,1,1,0,0,0
"T250",1,0,0,0,0,0
"T251",0,0,0,0,0,0
"T252",0,1,0,0,0,0
"T253",0,1,1,0,0,0
"T254",0,0,0,0,0,0
"T255",1,1,0,0,0,0
"T256",0,1,1,0,0,0
"T257",0,0,1,0,0,0
"T258",0,1,1,0,0,0
"T259",0,0,1,0,0,0
"T260",1,0,1,0,0,0
"T261",1,0,1,0,0,0
"T262",1,0,1,0,0,0
"T263",1,0,1,0,0,0
"T264",1,0,0,0,0,0
"T265",0,1,1,0,0,0
"T266",0,1,1,0,0,0
"T267",0,0,0,0,0,0
"T268",0,1,1,0,0,0
"T269",1,1,1,0,0,0
"T270",0,1,0,0,0,0
"T271",0,0,0,0,0,0
"T272",0,0,0,1,1,0
"T273",0,0,0,1,0,0
"T274",1,0,0,1,0,0
"T275",0,0,0,1,1,0
"T276",1,0,0,1,0,0
"T277",0,1,0,1,0,0
"T278",0,0,0,1,0,0
"T279",0,0,1,1,0,0
"T280",1,0,0,1,0,0
"T281",0,0,0,1,1,0
"T282",1,0,0,1,0,0
"T283",0,1,0,1,0,0
"T284",0,0,1,1,0,0
"T285",1,0,0,1,0,0
"T286",0,1,1,1,0,0
"T287",1,0,0,1,0,0
"T288",0,0,0,1,0,0
"T289",1,0,0,1,0,0
"T290",0,0,0,1,0,0
"T291",0,0,1,1,0,0
"T292",0,0,1,0,0,0
"T293",1,0,0,0,0,0
"T294",0,1,1,0,0,0
"T295",0,1,1,0,0,0
"T296",1,0,0,0,0,0
"T297",1,0,0,0,0,0
"T298",1,0,0,0,0,0
"T299",1,0,1,0,0,0
"T300",1,0,1,0,0,0
"T301",0,1,1,0,0,0
"T302",1,0,0,0,0,0
"T303",1,1,0,0,0,0
"T304",0,1,1,0,0,0
"T305",1,1,0,0,0,0
"T306",1,1,1,0,0,0
"T307",1,0,0,0,0,0
"T308",0,1,1,0,0,0
"T309",0,0,0,0,0,0
"T310",0,1,0,0,0,0
"T311",1,0,1,0,0,0
"T312",0,0,1,0,0,0
"T313",0,0,1,0,0,0
"T314",1,0,1,0,0,0
"T315",1,0,1,0,0,0
"T316",1,0,1,0,0,0
"T317",0,0,1,0,0,0
"T318",0,0,1,0,0,0
"T319",1,0,0,0,0,0
"T320",1,0,0,0,0,0
"T321",1,0,0,0,0,0
"T322",0,0,1,0,0,0
"T323",0,0,0,1,0,0
"T324",0,0,0,1,0,0
"T325",0,0,1,1,0,0
"T326",0,1,0,1,0,0
"T327",1,0,0,1,0,0
"T328",0,1,0,1,0,0
"T329",0,0,1,1,0,0
"T330",1,0,0,1,0,0
"T331",1,0,0,1,0,0
"T332",1,0,0,1,0,0
"T333",0,0,1,1,0,0
"T334",0,0,0,1,0,0
"T335",0,0,1,1,0,0
"T336",1,0,0,1,0,0
"T337",0,0,1,1,0,0
"T338",1,0,0,1,0,0
"T339",0,1,0,1,0,0
"T340",0,0,1,1,0,0
"T341",0,0,1,1,0,0
"T342",0,0,1,1,0,0
"T343",0,0,0,1,0,0
"T344",0,0,1,1,0,0
"T345",0,0,1,1,0,0
"T346",0,1,1,1,0,0
"T347",0,1,0,1,0,0
"T348",0,0,0,1,0,0
"T349",0,1,0,1,0,0
"T350",1,1,0,1,0,0
"T351",0,0,0,1,0,0
"T352",1,0,0,1,0,0
"T353",0,1,0,1,0,0
"T354",1,0,0,1,0,0
"T355",0,1,1,1,0,0
