"Tipologia","intergeneracional","padrastros","suegros","nodos_aislados","monoparental","pareja_sin_hijos"
"T860",1,0,1,0,0,0
"T861",1,1,1,0,0,0
"T862",1,0,1,0,0,0
"T863",1,0,0,0,0,0
"T864",1,1,0,0,0,0
"T865",1,1,1,0,0,0
"T866",1,1,0,0,0,0
"T867",1,0,1,0,0,0
"T868",1,0,1,0,0,0
"T869",1,0,0,0,0,0
"T870",1,0,1,0,0,0
"T871",1,0,0,0,0,0
"T872",1,1,0,0,0,0
"T873",1,1,0,0,0,0
"T874",1,1,0,0,0,0
"T875",1,0,0,0,0,0
"T876",1,1,1,0,0,0
"T877",1,1,1,0,0,0
"T878",1,1,1,0,0,0
"T879",0,1,1,0,0,0
"T880",0,1,1,0,0,0
"T881",1,1,1,0,0,0
"T882",1,0,0,0,0,0
"T883",1,0,0,0,0,0
"T884",1,0,0,0,0,0
"T885",1,0,0,0,0,0
"T886",1,0,0,0,0,0
"T887",1,0,0,0,0,0
"T888",0,1,0,0,0,0
"T889",1,1,0,0,0,0
"T890",1,1,0,0,0,0
"T891",1,0,1,0,0,0
"T892",1,1,1,0,0,0
"T893",0,1,0,0,0,0
"T894",1,1,0,0,0,0
"T895",1,1,1,0,0,0
"T896",1,1,0,0,0,0
"T897",1,1,0,0,0,0
"T898",0,1,1,0,0,0
"T899",0,1,1,0,0,0
"T900",0,1,1,0,0,0
"T901",0,1,1,0,0,0
"T902",1,1,1,0,0,0
"T903",0,1,1,0,0,0
"T904",0,1,1,0,0,0
"T905",1,0,0,0,0,0
"T906",0,1,1,0,0,0
"T907",0,0,1,0,0,0
"T908",0,0,1,0,0,0
"T909",0,0,1,0,0,0
"T910",0,1,1,0,0,0
"T911",1,0,1,0,0,0
"T912",1,1,1,0,0,0
"T913",1,1,1,0,0,0
"T914",0,1,1,0,0,0
"T915",0,0,1,0,0,0
"T916",1,0,1,0,0,0
"T917",1,0,1,0,0,0
"T918",1,0,1,0,0,0
"T919",1,1,1,0,0,0
"T920",0,1,1,0,0,0
"T921",1,1,1,0,0,0
"T922",1,1,1,0,0,0
"T923",1,0,0,0,0,0
"T924",1,0,0,0,0,0
"T925",1,0,1,0,0,0
"T926",1,1,0,0,0,0
"T927",0,0,1,0,0,0
"T928",1,1,1,0,0,0
"T929",1,0,0,0,0,0
"T930",1,1,1,0,0,0
"T931",0,1,0,0,0,0
"T932",1,1,0,0,0,0
"T933",1,1,0,0,0,0
"T934",1,0,0,0,0,0
"T935",1,0,0,0,0,0
"T936",1,1,1,0,0,0
"T937",1,1,0,0,0,0
"T938",1,1,0,0,0,0
"T939",0,0,1,0,0,0
"T940",1,0,0,0,0,0
"T941",1,0,1,0,0,0
"T942",0,1,1,0,0,0
"T943",1,1,0,0,0,0
"T944",0,1,1,0,0,0
"T945",0,1,1,0,0,0
"T946",0,0,1,0,0,0
"T947",0,1,1,0,0,0
"T948",0,0,1,0,0,0
"T949",0,0,1,0,0,0
"T950",0,0,1,0,0,0
"T951",0,1,1,0,0,0
"T952",0,0,1,0,0,0
"T953",1,0,1,0,0,0
"T954",1,1,1,0,0,0
"T955",0,1,1,0,0,0
"T956",1,1,0,0,0,0
"T957",1,0,1,0,0,0
"T958",0,0,1,0,0,0
"T959",0,1,1,0,0,0
"T960",1,0,1,0,0,0
"T961",0,0,1,0,0,0
"T962",0,0,1,0,0,0
"T963",1,0,1,0,0,0
"T964",0,0,1,0,0,0
