"macrogrupo","avg_age","prop_female","avg_income","prop_indigenous","prop_employed","prop_chilean","avg_hh_size"
"Aislada",56.6588474893162,55.5048076923077,256648,10.8426816239316,41.1745459401709,95.3458867521367,1
"Extendida",38.6705468178493,55.9156303340649,182890.025,12.6923311387466,41.4962813947818,94.977139722019,1
"Monoparental",35.0356237134623,62.5173596816248,174583.5,14.5965417867435,42.3014958144641,96.7554549197201,1
"Nuclear Tradicional",34.6458678173115,47.9103298672514,213282,12.960552686803,49.6562212633515,95.1361675037137,1
"Pareja sin Hijos",58.5343545343545,49.7224997224997,250000,8.98545898545899,38.6946386946387,94.7496947496948,1
