"Nodos","fingerprints","Frecuencia"
9,"2:5,1:2,7:1,9:1|1:14",1
9,"2:5,3:2,7:1,9:1|1:16",1
9,"2:5,6:3,4:1|1:16",2
9,"2:5,7:2,3:1,5:1|1:16",2
9,"2:5,8:2,1:1,3:1|1:15",1
9,"2:6,1:1,6:1,7:1|1:13",1
9,"2:6,1:1,7:1,8:1|1:14",1
9,"2:6,1:1,8:1,9:1|1:15",1
9,"2:6,7:2,6:1|1:16",1
9,"2:7,9:2|1:16",2
9,"3:3,1:2,2:2,4:1,7:1|1:13",2
9,"3:5,1:2,2:1,7:1|1:13",1
9,"4:3,1:2,2:2,5:2|1:14",1
9,"4:3,1:2,3:2,2:1,6:1|1:14",1
9,"4:4,1:2,2:2,6:1|1:14",1
9,"4:4,2:3,0:1,6:1|1:14",2
9,"4:4,2:3,3:2|1:14",1
9,"5:3,2:2,3:2,0:1,1:1|1:13",1
9,"5:4,2:3,3:2|1:16",2
10,"0:3,1:3,4:2,2:1,5:1|1:9",1
10,"1:2,2:2,3:2,4:2,5:1,7:1|1:16",1
10,"1:3,2:3,3:2,5:1,6:1|1:13",1
10,"1:3,2:3,4:2,3:1,6:1|1:13",1
10,"1:3,2:3,5:2,0:1,3:1|1:11",1
10,"1:3,4:3,2:2,5:1,6:1|1:15",2
10,"1:4,2:2,3:2,4:2|1:11",1
10,"1:4,2:2,4:2,3:1,5:1|1:12",2
10,"1:4,2:3,3:1,5:1,6:1|1:12",1
10,"1:4,2:3,5:2,6:1|1:13",1
10,"1:4,3:2,6:2,2:1,4:1|1:14",1
10,"1:4,4:2,2:1,3:1,5:1,6:1|1:14",1
10,"1:5,0:2,2:1,3:1,4:1|1:7",1
10,"1:5,3:2,2:1,4:1,5:1|1:11",1
10,"1:5,4:3,0:1,5:1|1:11",1
10,"1:5,4:3,2:1,7:1|1:13",1
10,"1:5,5:2,2:1,3:1,6:1|1:13",1
10,"1:5,5:3,3:2|1:13",2
10,"1:6,0:1,3:1,4:1,5:1|1:9",1
10,"1:6,2:2,3:1,5:1|1:9",1
10,"1:7,0:1,4:1,5:1|1:8",1
10,"1:7,2:1,3:1,4:1|1:8",1
10,"1:7,2:1,3:1,6:1|1:9",1
10,"2:3,0:2,1:2,3:2,6:1|1:10",1
10,"2:3,1:2,3:2,7:2,4:1|1:16",1
10,"2:3,1:2,4:2,5:2,6:1|1:16",1
10,"2:3,4:3,1:2,5:2|1:15",1
10,"2:4,0:2,5:2,4:1,6:1|1:14",1
10,"2:4,1:3,0:1,4:1,5:1|1:10",1
10,"2:4,1:3,0:1,5:1,6:1|1:11",1
10,"2:4,1:3,4:1,5:1,6:1|1:13",1
10,"2:4,1:3,6:2,5:1|1:14",1
10,"2:4,3:3,1:1,7:1,9:1|1:17",1
10,"2:4,4:2,1:1,3:1,6:1,8:1|1:17",1
10,"2:4,4:2,5:2,1:1,3:1|1:15",2
10,"2:4,4:3,1:1,5:1,6:1|1:16",1
10,"2:4,5:3,3:1,4:1,6:1|1:18",3
10,"2:5,0:3,7:2|1:12",1
10,"2:6,7:2,4:1,6:1|1:18",2
10,"2:6,9:2,1:1,3:1|1:17",1
10,"2:7,1:1,9:1,10:1|1:17",1
10,"2:7,9:2,4:1|1:18",1
10,"5:3,1:2,2:2,4:2,3:1|1:16",1
11,"0:3,1:3,2:3,3:1,4:1|1:8",1
11,"1:3,0:2,2:2,3:2,4:1,7:1|1:12",1
11,"1:3,2:3,3:2,4:2,5:1|1:14",1
11,"1:3,2:3,3:3,4:1,6:1|1:14",1
11,"1:3,2:3,3:3,8:2|1:17",1
11,"1:3,2:3,5:2,0:1,3:1,4:1|1:13",1
11,"1:3,5:3,2:2,3:2,0:1|1:14",1
11,"1:4,2:3,5:2,3:1,7:1|1:15",1
11,"1:4,2:4,5:1,7:1,8:1|1:16",1
11,"1:4,3:3,2:2,4:1,5:1|1:13",1
11,"1:5,2:3,4:2,9:1|1:14",1
11,"1:5,4:3,0:1,2:1,3:1|1:11",1
11,"1:6,0:3,2:1,4:1|1:6",1
11,"1:6,2:2,0:1,3:1,5:1|1:9",1
11,"1:6,2:2,3:1,4:1,5:1|1:11",1
11,"1:6,2:2,5:2,6:1|1:13",1
11,"1:6,4:3,5:2|1:14",1
11,"1:7,3:2,0:1,5:1|1:9",1
11,"1:8,2:1,3:1,9:1|1:11",1
11,"1:8,3:1,4:1,5:1|1:10",1
11,"1:8,5:2,0:1|1:9",1
11,"2:3,4:3,0:1,1:1,3:1,5:1,7:1|1:17",1
11,"2:3,4:3,1:2,0:1,3:1,5:1|1:14",1
11,"2:3,4:3,1:2,5:2,6:1|1:18",1
11,"2:4,1:2,6:2,3:1,4:1,7:1|1:18",1
11,"2:4,1:3,5:2,6:1,7:1|1:17",1
11,"2:4,1:3,6:2,0:1,3:1|1:13",1
11,"2:5,4:3,5:1,6:1,7:1|1:20",1
11,"2:5,5:3,0:2,7:1|1:16",1
11,"2:6,6:2,1:1,4:1,5:1|1:17",1
11,"2:7,5:2,7:1,9:1|1:20",1
11,"2:7,7:3,5:1|1:20",1
11,"2:8,1:1,10:1,11:1|1:19",1
12,"1:10,2:1,10:1|1:11",1
12,"1:3,2:3,6:3,4:2,3:1|1:19",1
12,"1:6,4:3,0:1,2:1,8:1|1:14",1
12,"1:7,5:4,3:1|1:15",1
12,"2:4,4:3,0:2,3:1,5:1,6:1|1:17",1
12,"2:5,1:4,3:1,4:1,7:1|1:14",1
12,"2:8,9:2,4:1,6:1|1:22",1
12,"3:5,2:3,0:2,1:1,4:1|1:13",1
13,"1:5,2:3,3:2,4:1,8:1,9:1|1:19",1
13,"1:7,2:3,3:1,4:1,10:1|1:15",1
13,"1:8,2:3,0:2|1:7",1
13,"1:8,2:3,3:1,5:1|1:11",1
14,"2:7,6:3,0:1,3:1,5:1,8:1|1:24",1
15,"1:5,2:4,3:3,6:2,4:1|1:19",1
21,"2:7,3:3,7:3,1:2,5:2,6:2,0:1,4:1|1:36",1
