"Nodos","fingerprints","Frecuencia"
6,"2:3,5:2,4:1|1:10",33
6,"2:4,1:1,3:1|1:6",1
6,"2:4,1:2|1:5",3
6,"2:4,4:1,8:1|1:10",5
6,"2:4,4:2|1:8",8
6,"2:4,6:2|1:10",300
6,"3:2,0:1,1:1,2:1,5:1|1:7",2
6,"3:2,1:1,2:1,4:1,5:1|1:9",12
6,"3:3,0:1,1:1,2:1|1:6",1
6,"3:3,0:1,1:1,4:1|1:7",1
6,"3:3,0:1,2:1,5:1|1:8",8
6,"3:3,0:2,1:1|1:5",4
6,"3:3,1:1,2:1,4:1|1:8",3
6,"3:3,1:1,2:1,6:1|1:9",9
6,"3:3,1:2,5:1|1:8",1
6,"3:3,2:2,1:1|1:7",4
6,"3:3,2:2,7:1|1:10",3
6,"3:4,1:1,5:1|1:9",1
6,"3:4,2:2|1:8",4
6,"4:2,0:1,1:1,2:1,3:1|1:7",27
6,"4:3,1:1,2:1,3:1|1:9",11
6,"4:3,1:2,2:1|1:8",87
6,"4:3,2:2,0:1|1:8",6
6,"4:4,2:2|1:10",3
7,"0:2,1:2,2:1,3:1,5:1|1:6",1
7,"0:2,1:2,3:2,2:1|1:5",3
7,"0:2,1:2,3:2,4:1|1:6",2
7,"0:2,2:2,1:1,3:1,4:1|1:6",2
7,"0:2,2:2,1:1,4:1,5:1|1:7",3
7,"0:2,2:2,3:2,4:1|1:7",1
7,"0:2,4:2,1:1,2:1,3:1|1:7",3
7,"0:3,1:1,2:1,3:1,4:1|1:5",1
7,"0:3,1:2,2:1,4:1|1:4",1
7,"0:3,1:2,2:2|1:3",1
7,"0:3,1:3,3:1|1:3",3
7,"0:3,2:2,1:1,3:1|1:4",1
7,"0:3,2:2,4:2|1:6",7
7,"0:4,1:1,2:1,3:1|1:3",1
7,"0:4,1:2,2:1|1:2",1
7,"0:4,3:2,2:1|1:4",4
7,"0:5,1:2|1:1",1
7,"0:5,2:2|1:2",2
7,"0:7|",1
7,"1:2,0:1,2:1,3:1,4:1,5:1|1:8",1
7,"1:2,2:2,0:1,3:1,5:1|1:7",1
7,"1:2,2:2,0:1,4:1,6:1|1:8",1
7,"1:2,2:2,3:1,4:1,5:1|1:9",14
7,"1:2,2:2,3:1,5:1,6:1|1:10",8
7,"1:2,2:2,3:2,0:1|1:6",1
7,"1:2,2:2,3:2,4:1|1:8",1
7,"1:2,2:2,3:2,6:1|1:9",3
7,"1:2,2:2,4:2,0:1|1:7",4
7,"1:2,2:2,4:2,6:1|1:10",1
7,"1:2,2:2,5:2,4:1|1:10",17
7,"1:2,3:2,4:2,0:1|1:8",2
7,"1:2,3:2,4:2,2:1|1:9",1
7,"1:2,3:2,5:2,2:1|1:10",8
7,"1:2,4:2,2:1,3:1,5:1|1:10",2
7,"1:3,0:1,2:1,3:1,4:1|1:6",1
7,"1:3,0:1,2:1,3:1,6:1|1:7",2
7,"1:3,0:2,2:1,3:1|1:4",2
7,"1:3,0:2,2:1,5:1|1:5",1
7,"1:3,2:1,3:1,4:1,6:1|1:9",2
7,"1:3,2:2,0:1,3:1|1:5",2
7,"1:3,2:2,0:1,5:1|1:6",1
7,"1:3,2:2,3:1,4:1|1:7",9
7,"1:3,2:2,3:1,6:1|1:8",3
7,"1:3,2:2,4:1,5:1|1:8",2
7,"1:3,2:2,4:1,7:1|1:9",6
7,"1:3,2:2,5:1,6:1|1:9",3
7,"1:3,2:3,3:1|1:6",2
7,"1:3,2:3,5:1|1:7",6
7,"1:3,3:2,0:1,5:1|1:7",3
7,"1:3,3:2,2:1,5:1|1:8",9
7,"1:3,3:2,2:1,7:1|1:9",1
7,"1:3,3:2,4:1,5:1|1:9",2
7,"1:3,3:3,2:1|1:7",5
7,"1:3,3:3,4:1|1:8",2
7,"1:3,4:2,2:1,3:1|1:8",13
7,"1:3,4:2,2:1,5:1|1:9",30
7,"1:3,4:3,3:1|1:9",15
7,"1:3,5:2,2:1,3:1|1:9",1
7,"1:4,0:1,2:1,4:1|1:5",6
7,"1:4,0:1,2:1,6:1|1:6",4
7,"1:4,0:1,3:1,5:1|1:6",1
7,"1:4,0:2,2:1|1:3",1
7,"1:4,0:2,4:1|1:4",6
7,"1:4,0:3|1:2",1
7,"1:4,2:1,3:1,5:1|1:7",14
7,"1:4,2:1,3:1,7:1|1:8",2
7,"1:4,2:1,4:1,6:1|1:8",2
7,"1:4,2:2,4:1|1:6",14
7,"1:4,2:2,6:1|1:7",3
7,"1:4,2:3|1:5",3
7,"1:4,3:1,4:1,5:1|1:8",2
7,"1:4,3:2,0:1|1:5",5
7,"1:4,3:2,2:1|1:6",17
7,"1:4,3:2,6:1|1:8",10
7,"1:4,4:2,2:1|1:7",6
7,"1:4,5:2,2:1|1:8",2
7,"1:5,0:1,3:1|1:4",3
7,"1:5,0:1,5:1|1:5",7
7,"1:5,2:1,3:1|1:5",7
7,"1:5,2:1,5:1|1:6",12
7,"1:5,2:1,7:1|1:7",4
7,"1:5,3:1,4:1|1:6",17
7,"1:5,4:1,5:1|1:7",5
7,"1:6,4:1|1:5",1
7,"1:6,6:1|1:6",12
7,"2:2,3:2,0:1,4:1,6:1|1:10",7
7,"2:2,3:2,1:1,4:1,5:1|1:10",5
7,"2:2,3:2,1:1,4:1,7:1|1:11",4
7,"2:2,4:2,0:1,1:1,3:1|1:8",1
7,"2:2,4:2,0:1,3:1,5:1|1:10",3
7,"2:2,4:2,1:1,3:1,6:1|1:11",10
7,"2:2,5:2,0:1,1:1,3:1|1:9",3
7,"2:2,5:2,1:1,3:1,4:1|1:11",6
7,"2:3,0:1,1:1,3:1,4:1|1:7",1
7,"2:3,0:1,1:1,4:1,5:1|1:8",4
7,"2:3,0:1,1:1,5:1,6:1|1:9",10
7,"2:3,0:1,3:1,4:1,5:1|1:9",2
7,"2:3,0:2,1:1,3:1|1:5",1
7,"2:3,0:2,5:2|1:8",12
7,"2:3,1:1,3:1,4:1,6:1|1:10",3
7,"2:3,1:1,4:1,5:1,6:1|1:11",1
7,"2:3,1:2,3:1,5:1|1:8",3
7,"2:3,1:2,3:2|1:7",2
7,"2:3,1:2,4:1,6:1|1:9",4
7,"2:3,1:2,4:2|1:8",6
7,"2:3,1:2,5:1,7:1|1:10",11
7,"2:3,1:2,5:2|1:9",9
7,"2:3,1:2,6:2|1:10",2
7,"2:3,3:2,1:1,5:1|1:9",1
7,"2:3,3:2,4:1,8:1|1:12",2
7,"2:3,3:2,4:2|1:10",5
7,"2:3,3:2,5:1,7:1|1:12",28
7,"2:3,4:2,0:1,6:1|1:10",1
7,"2:3,4:2,1:1,3:1|1:9",4
7,"2:3,4:2,1:1,5:1|1:10",1
7,"2:3,4:2,3:1,5:1|1:11",1
7,"2:3,4:2,5:2|1:12",1
7,"2:3,4:3,6:1|1:12",20
7,"2:3,5:2,0:1,4:1|1:10",4
7,"2:3,5:2,1:1,3:1|1:10",1
7,"2:3,5:3,1:1|1:11",3
7,"2:3,5:3,3:1|1:12",32
7,"2:3,6:2,1:1,3:1|1:11",26
7,"2:4,1:1,4:1,5:1|1:9",6
7,"2:4,1:1,5:1,6:1|1:10",14
7,"2:4,1:1,6:1,7:1|1:11",30
7,"2:4,3:1,4:1,5:1|1:10",4
7,"2:4,3:1,5:1,6:1|1:11",4
7,"2:4,5:2,6:1|1:12",1
7,"2:4,6:2,0:1|1:10",13
7,"2:4,6:2,4:1|1:12",8
7,"2:5,5:1,9:1|1:12",2
7,"2:5,5:2|1:10",1
7,"2:5,7:2|1:12",38
7,"3:2,0:1,1:1,2:1,4:1,5:1|1:9",1
7,"3:2,4:2,1:1,2:1,5:1|1:11",11
7,"3:3,0:1,1:1,2:1,4:1|1:8",2
7,"3:3,0:2,2:1,5:1|1:8",1
7,"3:3,1:1,2:1,4:1,6:1|1:11",2
7,"3:3,1:2,2:1,5:1|1:9",1
7,"3:3,1:2,2:1,7:1|1:10",2
7,"3:3,2:2,0:1,1:1|1:7",1
7,"3:3,2:2,0:1,7:1|1:10",1
7,"3:3,2:2,1:1,4:1|1:9",2
7,"3:3,2:2,1:1,6:1|1:10",1
7,"3:3,2:2,4:1,5:1|1:11",1
7,"3:3,4:2,1:1,2:1|1:10",3
7,"3:4,1:2,2:1|1:8",1
7,"3:4,2:2,0:1|1:8",1
7,"4:3,1:2,0:1,2:1|1:8",6
7,"4:3,1:2,2:2|1:9",6
7,"4:3,2:2,1:1,3:1|1:10",1
7,"4:3,2:2,1:1,5:1|1:11",3
7,"4:3,2:2,3:1,5:1|1:12",2
7,"4:4,1:2,2:1|1:10",3
8,"0:2,1:2,2:1,3:1,4:1,5:1|1:8",1
8,"0:2,1:2,2:2,3:2|1:6",1
8,"0:3,1:2,2:1,3:1,5:1|1:6",1
8,"0:3,1:2,3:2,4:1|1:6",1
8,"0:3,1:3,2:1,3:1|1:4",1
8,"0:3,2:3,5:2|1:8",1
8,"0:5,1:1,2:1,3:1|1:3",1
8,"0:5,1:2,2:1|1:2",1
8,"0:5,3:2,2:1|1:4",2
8,"0:8|",1
8,"1:2,2:2,0:1,3:1,4:1,5:1|1:9",3
8,"1:2,2:2,3:2,0:1,4:1|1:8",1
8,"1:2,2:2,3:2,4:1,6:1|1:11",3
8,"1:2,2:2,3:2,4:1,8:1|1:12",1
8,"1:2,2:2,3:2,4:2|1:10",1
8,"1:2,2:2,3:2,5:2|1:11",1
8,"1:2,2:2,3:2,6:2|1:12",3
8,"1:2,2:2,4:2,5:2|1:12",2
8,"1:2,2:2,5:2,0:1,4:1|1:10",1
8,"1:3,0:2,2:1,3:1,6:1|1:7",1
8,"1:3,0:2,2:2,3:1|1:5",3
8,"1:3,2:2,0:1,3:1,4:1|1:7",1
8,"1:3,2:2,0:1,4:1,5:1|1:8",1
8,"1:3,2:2,0:1,4:1,7:1|1:9",1
8,"1:3,2:2,3:1,4:1,6:1|1:10",3
8,"1:3,2:2,3:2,5:1|1:9",1
8,"1:3,2:2,4:1,5:1,6:1|1:11",1
8,"1:3,2:2,4:2,3:1|1:9",4
8,"1:3,2:2,4:2,5:1|1:10",1
8,"1:3,2:3,0:1,3:1|1:6",1
8,"1:3,2:3,0:1,5:1|1:7",2
8,"1:3,2:3,3:1,4:1|1:8",1
8,"1:3,2:3,3:1,6:1|1:9",1
8,"1:3,2:3,5:1,8:1|1:11",1
8,"1:3,3:2,0:1,4:1,5:1|1:9",1
8,"1:3,3:2,2:1,4:1,5:1|1:10",1
8,"1:3,3:2,2:1,5:1,6:1|1:11",1
8,"1:3,3:3,0:1,2:1|1:7",1
8,"1:3,3:3,0:2|1:6",2
8,"1:3,3:3,2:1,4:1|1:9",2
8,"1:3,3:3,5:2|1:11",1
8,"1:3,4:2,0:1,2:1,5:1|1:9",3
8,"1:3,4:2,2:1,3:1,6:1|1:11",1
8,"1:3,4:3,0:1,3:1|1:9",1
8,"1:3,4:3,2:1,3:1|1:10",1
8,"1:3,5:2,2:1,3:1,4:1|1:11",6
8,"1:3,5:3,2:2|1:11",5
8,"1:4,0:1,2:1,3:1,5:1|1:7",1
8,"1:4,0:1,2:1,3:1,7:1|1:8",1
8,"1:4,0:2,3:1,5:1|1:6",1
8,"1:4,0:3,2:1|1:3",1
8,"1:4,0:3,4:1|1:4",1
8,"1:4,2:1,3:1,4:1,5:1|1:9",3
8,"1:4,2:2,3:1,5:1|1:8",2
