"macrogrupo","n_hogares","porcentaje","edad_mediana","porc_hogares_masculinos","ingreso_mediano","Q1_ingreso","Q3_ingreso","porc_rural","porc_Norte","porc_Centro","porc_Sur","tasa_desocupacion","tasa_inactividad","porc_enfermos","max_escolaridad_promedio","porc_jefe_educ_superior","porc_pobreza_extrema","porc_pobreza_no_extrema","porc_no_pobre","sin_hacinamiento","hacinamiento_medio","hacinamiento_alto","hacinamiento_critico","allegamiento_interno","allegamiento_externo","porc_hogares_extranjero","porc_hogares_indigena","porc_Multigeneracional","porc_Sin_gen_intermedia","porc_Sin_adultos_mayores","porc_Sin_menores_15","porc_Solo_15_64","porc_Solo_mayores_64"
"Isolated",12480,21.3,59,41.2980769230769,256648,150000,515000,1.88301282051282,0,0,0,0.0600560897435897,0.483540331196581,15.4366987179487,10.9053244861628,13.5176282051282,3.66185897435897,3.42147435897436,92.9166666666667,99.3108974358974,0.128205128205128,0.0240384615384615,0.536858974358974,11.6586538461538,4.0224358974359,4.91185897435897,11.5144230769231,0.16025641025641,0.3125,0.753205128205128,6.33814102564103,56.5945512820513,35.8413461538462
"Childless Couple",9009,15.3,62,1.04340104340104,250000,164365,468833,2.24220224220224,0,0,0,0.0602730602730603,0.524697524697525,17.1717171717172,11.6518626244546,15.4734154734155,2.51970251970252,3.27450327450327,94.2057942057942,99.8112998112998,0,0,0.188700188700189,0,3.41880341880342,7.19280719280719,14.4189144189144,0,0,0,16.2282162282162,49.8723498723499,33.8994338994339
"Tradicional Nuclear",14137,24.1,32.3333333333333,45.554219424206,213282,126000,390000,1.74011459291222,0,0,0,0.0925278819174271,0.391623635377614,5.63120416872981,14.2818634423898,16.3471740821957,4.0814882931315,6.04088561929688,89.8776260875716,93.0183207186815,5.48914196788569,1.06811912003961,0.424418193393223,0.629553653533281,2.22112187875787,8.20541840560232,17.5496922968098,0.325387281601471,0.0141472731131074,54.3891914833416,13.9279903798543,31.3079153993068,0.0353681827827686
"Single-Parent",12145,20.7,31.5,18.5014409221902,174583.5,103000,3e+05,1.5973651708522,0,0,0,0.11549197200494,0.432522299986277,6.4105942088651,13.2977137176938,10.4734458624949,5.96953478797859,8.48085631947303,85.5496088925484,96.7064635652532,2.56072457801564,0.411692054343351,0.321119802387814,4.45450802799506,3.30177027583368,4.98970769864142,17.8015644298065,0.016467682173734,0.0329353643474681,40.1646768217373,19.3412927130506,39.2918896665294,1.15273775216138
"Extended",10936,18.6,37,30.1847110460863,182890.025,116666.666666667,297503.25,1.6185076810534,0,0,0,0.118344611070471,0.463399170933919,7.5327663984394,13.7948152233867,10.6986100950988,3.96854425749817,6.89465983906364,89.1367959034382,93.5259692757864,5.22128749085589,0.832114118507681,0.420629114850037,61.2289685442575,1.92940746159473,8.40343818580834,19.6781272860278,16.2856620336503,0.283467446964155,40.8284564740307,26.4813460131675,15.0237746891002,1.09729334308705
