"Tipologia","Variable","Chi2","df","p_value","Min_esperado","Cramer_V"
"T34","rural_cat",5.9222,2,0.0518,11.9452,0.0061
"T34","qaut",61.906,4,0,109.9643,0.0197
"T35","region",87.3395,15,0,14.6822,0.0233
"T35","rural_cat",3.8962,2,0.1425,9.5561,0.0049
"T35","qaut",75.7597,4,0,87.9715,0.0217
"T36","region",165.2051,15,0,18.0867,0.0321
"T36","rural_cat",19.3538,2,1e-04,11.7721,0.011
"T36","qaut",249.9207,4,0,108.3707,0.0395
"T37","region",96.8054,15,0,17.0228,0.0246
"T37","rural_cat",5.8351,2,0.0541,11.0796,0.006
"T37","qaut",54.7014,4,0,101.9959,0.0185
"T38","region",92.4094,15,0,15.9589,0.024
"T38","rural_cat",18.1337,2,1e-04,10.3871,0.0106
"T38","qaut",223.3575,4,0,95.6212,0.0373
"T39","region",189.1869,15,0,16.278,0.0344
"T39","rural_cat",12.6024,2,0.0018,10.5949,0.0089
"T39","qaut",40.3286,4,0,97.5336,0.0159
"T40","region",96.5736,15,0,16.1184,0.0245
"T40","rural_cat",5.4939,2,0.0641,10.491,0.0059
"T40","qaut",47.2101,4,0,96.5774,0.0172
"T41","region",47.9066,15,0,10.6392,0.0173
"T41","rural_cat",10.3202,2,0.0057,6.9247,0.008
"T41","qaut",72.4323,4,0,63.5881,0.0213
"T42","region",105.6133,15,0,15.7993,0.0257
"T42","rural_cat",10.9368,2,0.0042,10.2832,0.0083
"T42","qaut",139.1385,4,0,94.665,0.0295
"T43","region",144.6413,15,0,15.1609,0.03
"T43","rural_cat",22.5144,2,0,9.8678,0.0119
"T43","qaut",95.8422,4,0,88.9277,0.0245
"T44","region",93.786,15,0,14.6822,0.0242
"T44","rural_cat",11.5475,2,0.0031,9.5561,0.0085
"T44","qaut",88.4822,4,0,87.9715,0.0235
"T45","region",51.4625,15,0,9.4689,0.0179
"T45","rural_cat",15.7561,2,4e-04,6.163,0.0099
"T45","qaut",41.8947,4,0,56.7352,0.0162
"T46","region",172.8822,15,0,11.5702,0.0328
"T46","rural_cat",9.3457,2,0.0093,7.5307,0.0076
"T46","qaut",42.5395,4,0,69.3253,0.0163
"T47","region",193.9654,15,0,13.7246,0.0348
"T47","rural_cat",19.7273,2,1e-04,8.9329,0.0111
"T47","qaut",182.6296,4,0,82.2342,0.0338
"T48","region",35.9835,15,0.0018,8.937,0.015
"T48","rural_cat",2.8836,2,0.2365,5.8168,0.0042
"T48","qaut",45.2769,4,0,53.5479,0.0168
