"tipologia","Edad_promedio_jefe","Desviacion_edad_jefe","%_mujer_jefe","%_hombre_jefe","%_Urbano","%_Rural","%_Norte","%_Centro","%_Sur","%_Hogares_con_extranjero","%_Hogares_con_indigena","Ingreso_mediano","Q1","Q3","%_Hombres_promedio","Edad_promedio_hogar","Desviacion_edad_hogar","Tasa_desocupacion_promedio","Tasa_inactividad_promedio","%_Enfermos_promedio","Max_escolaridad_promedio","%_Hacinamiento_sin","%_Hacinamiento_medio","%_Hacinamiento_alto","%_Hacinamiento_critico","%_Pobreza_extrema","%_Pobreza_no_extremo","%_No_pobre","%_Multigeneracional","%_Sin_generacion_intermedia","%_Sin_adultos_mayores","%_Sin_menores_15","%_Solo_menores_15","%_Solo_15_64","%_Solo_mayores_64","%_Allegamiento_interno","%_Allegamiento_externo"
"T22",57.6,10.2,24.4,75.6,89.3,10.7,18.9,49.6,31.5,2.2,17,186005.6,116000,291020.6,44.3,35.4,22.4,0.135,0.42,30,14.3,0,0,0,0,0,0,0,21.6,0,69.3,6.8,0,2.2,0,100,1.4
"T23",51.6,14.1,40.1,59.9,91.7,8.3,23.5,47.9,28.7,8,18.3,198416.6,129000,317687,46.1,36.3,24.8,0.093,0.471,29.6,14.6,0,0,0,0,0,0,0,45.3,0,28.1,26.1,0,0.6,0,72.8,0.9
"T24",46,8.5,23.1,76.9,91.7,8.3,21.8,45.5,32.7,9.6,27.1,142499.666666667,84194.5833333333,263229,51.5,25,16.4,0.113,0.49,14,14.3,0,0,0,0,0,0,0,0.3,0,80.9,2.3,0,16.5,0,0,1.7
"T25",45.3,11.6,51,49,94.7,5.3,25.5,41.4,33.1,15.6,19.2,210000,125322.9375,342239.5625,50.5,30.9,16.7,0.118,0.333,21,14.1,0,0,0,0,0,0,0,0.3,0,57,8.9,0,33.8,0,0.3,1.7
"T26",51.7,16.2,88.2,11.8,92.7,7.3,29.1,45.3,25.6,9.3,22.5,149621.5,93184.5,271969.75,42.8,33.8,19.5,0.149,0.481,24.9,13.8,0,0,0,0,0,0,0,10.7,0,39.4,22.5,0,27.3,0,61.6,2.4
"T27",42.3,10.2,93.5,6.5,93.5,6.5,30.3,39.7,30,10.5,24.9,105857.4,72808.4,148942.2,43.2,20.9,13.3,0.151,0.484,18.8,13.2,0,0,0,0,0,0,0,0,0,83.8,3.2,0,12.6,0.4,2.2,4.3
"T28",41.1,8.6,38.3,61.7,92.2,7.8,26.6,39.8,33.6,10.5,29.3,160436.2,110000,240154.8,53.1,23.5,16.4,0.104,0.391,18.3,14,0,0,0,0,0,0,0,0.4,0,92.6,2,0,5.1,0,0,3.5
"T29",49.5,12.9,24.1,75.9,91.2,8.8,15.3,53.4,31.3,16.5,22.5,204183.4,125000,456000,51,34,20.3,0.094,0.397,21.8,14.9,0,0,0,0,0,0,0,14.1,0,53.8,16.5,0,15.7,0,42.2,2.8
"T30",62.2,13.8,32.2,67.8,91.6,8.4,23.3,43.1,33.7,13.9,22.8,164303.375,96716,253204,56.1,43.7,22.9,0.106,0.558,38.1,12.6,0,0,0,0,0,0,0,14.9,3.5,16.8,41.1,0,21.3,2.5,46,0.5
"T31",64.4,10.7,25.4,74.6,91.5,8.5,20.4,48.3,31.3,1.5,19.9,158100.6,99000,218058.6,42.3,38.3,27.9,0.118,0.595,34.9,13.6,0,0,0,0,0,0,0,49.3,0,33.3,17.4,0,0,0,100,0.5
"T32",52.8,14.7,87.5,12.5,95.8,4.2,29.2,41.7,29.2,7.6,20.1,114633.5,76719.3,164239.6,36.5,29.9,25.3,0.112,0.611,26.1,13.3,0,0,0,0,0,0,0,45.1,0,33.3,19.4,0,2.1,0,84.7,0.7
"T33",58.9,16.4,79,21,90.9,9.1,25.9,42.7,31.5,7.7,22.4,169604.5,101989.875,248871.875,46.7,39.2,21.2,0.11,0.488,31.1,13.8,0,0,0,0,0,0,0,16.1,0,32.2,32.2,0,19.6,0,73.4,1.4
"T34",59.9,12.8,26.1,73.9,90.6,9.4,23.9,46.4,29.7,8.7,19.6,194328.9,137038.75,281500,50.1,40.5,24.3,0.108,0.432,32.2,14.3,0,0,0,0,0,0,0,39.9,0,47.8,11.6,0,0.7,0,100,0.7
"T35",60.2,10.9,23.9,76.1,91.3,8.7,23.9,50.7,25.4,10.9,15.2,251428.125,148430.0625,374211.625,49.6,47,17.8,0.109,0.389,37.5,14.5,0,0,0,0,0,0,0,0,0,0,44.9,0,55.1,0,100,1.4
