"","Aislada","Extendida","Intergeneracional","Monoparental","Nuclear tradicional","Pareja sin hijos","Reconstituida"
"1",45.0932215638098,11.0239919063448,0,43.8827865298454,0,0,0
"2",0,0,0,0,0,100,0
"3",0,0,0,0,100,0,0
"4",0,1.63746520386442,61.3066972326838,0,0,0,37.0558375634518
"5",0,100,0,0,0,0,0
