"Cluster","Categoria","Conteo","Porcentaje","std_residual","Variable"
"Cluster 5","No",383,21.541057367829,-14.7637958394253,"presencia_enfermos"
"Cluster 1","Sí",16219,58.603121838416,-14.5675031094706,"presencia_enfermos"
"Cluster 2","Sí",6349,70.4739704739705,18.6237135464601,"presencia_enfermos"
"Cluster 3","Sí",8098,57.2823088349721,-12.3950133300339,"presencia_enfermos"
"Cluster 4","Sí",4160,68.1185524807598,10.9042843347334,"presencia_enfermos"
"Cluster 5","Sí",1395,78.458942632171,14.7637958394253,"presencia_enfermos"
"Cluster 1","No",26138,94.4428385604856,10.6547484385284,"presencia_extranjeros"
"Cluster 2","No",8361,92.8071928071928,-1.93444254897459,"presencia_extranjeros"
"Cluster 3","No",12977,91.7945815943977,-8.07669317378327,"presencia_extranjeros"
"Cluster 4","No",5660,92.680530538726,-1.96571063003278,"presencia_extranjeros"
"Cluster 5","No",1624,91.3385826771654,-3.31411009208548,"presencia_extranjeros"
"Cluster 1","Sí",1538,5.55716143951438,-10.6547484385284,"presencia_extranjeros"
"Cluster 2","Sí",648,7.19280719280719,1.93444254897459,"presencia_extranjeros"
"Cluster 3","Sí",1160,8.20541840560232,8.07669317378324,"presencia_extranjeros"
"Cluster 4","Sí",447,7.31946946127395,1.96571063003275,"presencia_extranjeros"
"Cluster 5","Sí",154,8.66141732283465,3.31411009208549,"presencia_extranjeros"
