"Variable","Chi2","p_value","Cramer_V"
"rural_cat",40.7989736656841,2.27299321881846e-06,0.0186408055971813
"sueldo_cat",1132.44920869308,4.63086602949198e-231,0.0694439517526859
"zona",57.9718529030086,1.16319347063625e-09,0.0222202350646917
"presencia_indigenas",132.200855418531,1.31726842796979e-27,0.0474539303693105
"presencia_enfermos",840.329624057356,1.40991433162045e-180,0.119640961057947
"presencia_extranjeros",126.810717990879,1.87208028845729e-26,0.0464764594956952
